frame,worker_id,helmet,vest,mask,status
147,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
148,3,False,False,False,NO HARDHAT | NO SAFETY VEST
148,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
149,3,False,False,False,NO HARDHAT | NO SAFETY VEST
149,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
149,5,True,False,False,NO SAFETY VEST | NO MASK
150,3,False,False,False,NO HARDHAT | NO SAFETY VEST
150,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
151,3,False,False,False,NO HARDHAT | NO SAFETY VEST
151,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
152,3,False,False,False,NO HARDHAT | NO SAFETY VEST
152,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
153,3,False,False,False,NO HARDHAT | NO SAFETY VEST
153,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
154,3,False,False,False,NO HARDHAT | NO SAFETY VEST
154,5,True,False,False,NO SAFETY VEST | NO MASK
155,3,False,False,False,NO HARDHAT | NO SAFETY VEST
155,5,True,False,False,NO SAFETY VEST | NO MASK
156,3,False,False,False,NO HARDHAT | NO SAFETY VEST
156,5,True,False,False,NO SAFETY VEST | NO MASK
157,3,False,False,False,NO HARDHAT | NO SAFETY VEST
157,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
158,3,False,False,False,NO HARDHAT | NO SAFETY VEST
158,5,True,False,False,NO SAFETY VEST | NO MASK
159,3,False,False,False,NO HARDHAT | NO SAFETY VEST
159,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
160,3,False,False,False,NO HARDHAT | NO SAFETY VEST
160,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
161,3,False,False,False,NO HARDHAT | NO SAFETY VEST
161,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
162,3,False,False,False,NO HARDHAT | NO SAFETY VEST
162,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
163,3,False,False,False,NO HARDHAT | NO SAFETY VEST
163,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
164,3,False,False,False,NO HARDHAT | NO SAFETY VEST
164,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
165,3,False,False,False,NO HARDHAT | NO SAFETY VEST
165,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
165,74,False,False,False,MONITORING
166,3,False,False,False,NO HARDHAT | NO SAFETY VEST
166,74,False,False,False,MONITORING
166,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
167,74,False,False,False,MONITORING
167,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
168,74,False,False,False,MONITORING
168,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
168,3,False,False,False,NO HARDHAT | NO SAFETY VEST
169,74,False,False,False,MONITORING
169,5,True,False,False,NO HARDHAT | NO SAFETY VEST
169,3,False,False,False,NO HARDHAT | NO SAFETY VEST
170,74,False,False,False,MONITORING
170,5,True,False,False,NO SAFETY VEST
170,3,False,False,False,NO HARDHAT | NO SAFETY VEST
171,74,False,False,False,MONITORING
171,5,True,False,False,NO SAFETY VEST
171,3,False,False,False,NO HARDHAT | NO SAFETY VEST
172,74,False,False,False,MONITORING
172,5,True,False,False,NO SAFETY VEST
173,74,False,False,False,MONITORING
173,5,True,False,False,NO SAFETY VEST
174,74,False,False,False,MONITORING
174,5,True,False,False,NO SAFETY VEST
174,3,False,False,False,NO HARDHAT | NO SAFETY VEST
175,5,True,False,False,NO SAFETY VEST
176,5,True,False,False,NO SAFETY VEST
177,5,True,False,False,NO SAFETY VEST
177,3,False,False,False,NO HARDHAT | NO SAFETY VEST
178,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
178,3,False,False,False,NO HARDHAT | NO SAFETY VEST
179,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
179,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
180,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
180,3,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
181,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
181,3,False,False,False,NO HARDHAT | NO SAFETY VEST
182,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
183,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
184,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
184,3,False,False,False,NO HARDHAT | NO SAFETY VEST
185,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
185,3,False,False,False,NO HARDHAT | NO SAFETY VEST
186,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
186,3,False,False,False,NO HARDHAT | NO SAFETY VEST
187,5,True,False,False,NO SAFETY VEST
188,5,True,False,False,NO SAFETY VEST
189,5,True,False,False,NO SAFETY VEST
190,5,True,False,False,NO SAFETY VEST
191,5,True,False,False,NO SAFETY VEST | NO MASK
191,3,False,False,False,NO HARDHAT | NO SAFETY VEST
191,64,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
192,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
192,64,False,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
192,3,False,False,False,NO HARDHAT | NO SAFETY VEST
192,64,True,False,False,NO SAFETY VEST
193,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
193,64,False,False,False,NO SAFETY VEST
193,3,False,False,False,NO HARDHAT | NO SAFETY VEST
193,64,True,False,False,NO SAFETY VEST
194,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
194,64,False,False,False,NO SAFETY VEST
194,3,False,False,False,NO HARDHAT | NO SAFETY VEST
194,64,True,False,False,NO SAFETY VEST
195,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
195,64,False,False,False,NO SAFETY VEST
195,3,False,False,False,NO HARDHAT | NO SAFETY VEST
195,64,True,False,False,NO SAFETY VEST
196,64,False,False,False,NO SAFETY VEST
196,3,False,False,False,NO HARDHAT | NO SAFETY VEST
196,64,True,False,False,NO SAFETY VEST
197,64,False,False,False,NO SAFETY VEST
197,3,False,False,False,NO HARDHAT | NO SAFETY VEST
197,64,True,False,False,NO SAFETY VEST
198,3,False,False,False,NO HARDHAT | NO SAFETY VEST
198,64,True,False,False,NO SAFETY VEST
199,3,False,False,False,NO HARDHAT | NO SAFETY VEST
199,64,True,False,False,NO SAFETY VEST
200,3,False,False,False,NO HARDHAT | NO SAFETY VEST
200,64,True,False,False,NO SAFETY VEST
201,3,False,False,False,NO HARDHAT | NO SAFETY VEST
201,64,True,False,False,NO SAFETY VEST
202,3,False,False,False,NO HARDHAT | NO SAFETY VEST
202,64,True,False,False,NO SAFETY VEST
202,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
203,3,False,False,False,NO HARDHAT | NO SAFETY VEST
203,64,True,False,False,NO SAFETY VEST
203,64,False,False,False,NO SAFETY VEST
204,3,False,False,False,NO HARDHAT | NO SAFETY VEST
204,64,True,False,False,NO SAFETY VEST
204,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
205,3,False,False,False,NO HARDHAT | NO SAFETY VEST
205,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
206,3,False,False,False,NO HARDHAT | NO SAFETY VEST
206,64,True,False,False,NO SAFETY VEST
207,3,False,False,False,NO HARDHAT | NO SAFETY VEST
207,64,True,False,False,NO SAFETY VEST
208,3,False,False,False,NO HARDHAT | NO SAFETY VEST
208,64,True,False,False,NO SAFETY VEST
209,3,False,False,False,NO HARDHAT | NO SAFETY VEST
209,64,True,False,False,NO SAFETY VEST
210,3,False,False,False,NO HARDHAT | NO SAFETY VEST
210,64,True,False,False,NO SAFETY VEST
211,3,False,False,False,NO HARDHAT | NO SAFETY VEST
211,5,True,False,False,NO HARDHAT | NO SAFETY VEST | NO MASK
212,3,False,False,False,NO HARDHAT | NO SAFETY VEST
212,5,True,False,False,NO HARDHAT | NO SAFETY VEST
213,3,False,False,False,NO HARDHAT | NO SAFETY VEST
